platform,slug,url,url_kind,status_page,headquarters
AI21,ai21,https://www.ai21.com/,own,https://status.ai21.com/,IL
AionLabs,aion-labs,https://www.aionlabs.ai/,own,,IL
AkashML,akashml,https://akashml.com/,own,,
Alibaba,alibaba,https://www.alibabacloud.com/,own,https://status.alibabacloud.com/,SG
Amazon Bedrock,amazon-bedrock,https://aws.amazon.com/,own,https://health.aws.amazon.com/health/status,US
Amazon Nova,amazon-nova,https://openrouter.ai/provider/amazon-nova,openrouter,,US
Ambient,ambient,https://openrouter.ai/provider/ambient,openrouter,,
Anthropic,anthropic,https://www.anthropic.com/,own,https://status.anthropic.com/,US
Arcee AI,arcee-ai,https://openrouter.ai/provider/arcee-ai,openrouter,,US
AtlasCloud,atlas-cloud,https://www.atlascloud.ai/,own,,US
Avian,avian,https://avian.io/,own,,US
AWS Bedrock,,https://aws.amazon.com/bedrock/pricing/,own,https://health.aws.amazon.com/health/status,US
Azure,azure,https://www.microsoft.com/,own,https://status.azure.com/,US
Azure Foundry,,https://azure.microsoft.com/en-us/pricing/details/ai-foundry/,own,https://azure.status.microsoft/en-us/status,US
Baidu,baidu,https://intl.cloud.baidu.com/,own,,CN
BaseTen,baseten,https://www.baseten.co/,own,https://status.baseten.co/,US
Black Forest Labs,black-forest-labs,https://bfl.ai/,own,,
Cerebras,cerebras,https://www.cerebras.ai/,own,https://status.cerebras.ai/,US
Chutes,chutes,https://chutes.ai/,own,,US
Cirrascale,cirrascale,https://www.cirrascale.com/,own,,
Clarifai,clarifai,https://openrouter.ai/provider/clarifai,openrouter,,US
Claude Platform on AWS,claude-on-aws,https://www.anthropic.com/,own,https://status.anthropic.com/,US
Cloudflare,cloudflare,https://cloudflare.com/,own,https://www.cloudflarestatus.com/,US
Cohere,cohere,https://cohere.com/,own,https://status.cohere.ai/,US
CoreWeave,coreweave,https://coreweave.com/,own,,US
Cosine,cosine,https://openrouter.ai/provider/cosine,openrouter,,
Crucible,crucible,https://openrouter.ai/provider/crucible,openrouter,,
Crusoe,crusoe,https://legal.crusoe.ai/,own,https://status.crusoecloud.com/,US
Darkbloom,darkbloom,https://www.darkbloom.dev/,own,,
Databricks,databricks,https://www.databricks.com/,own,https://status.databricks.com,US
Decart,decart,https://cogito.decart.ai/,own,,US
Deepgram,deepgram,https://deepgram.com/,own,,
DeepInfra,deepinfra,https://deepinfra.com/,own,https://status.deepinfra.com/,US
DeepSeek,deepseek,https://deepseek.com/,own,https://status.deepseek.com/,CN
DekaLLM,dekallm,https://docs.cloudeka.ai/,own,,ID
DigitalOcean,digitalocean,https://www.digitalocean.com/,own,,
FakeProvider,fake-provider,https://openrouter.ai/provider/fake-provider,openrouter,,US
Featherless,featherless,https://featherless.ai/,own,https://featherless.ai/status,US
Fireworks,fireworks,https://fireworks.ai/,own,https://status.fireworks.ai/,US
Fish Audio,fish-audio,https://fish.audio/,own,,
Friendli,friendli,https://friendli.ai/,own,https://status.friendli.ai/,US
GMICloud,gmicloud,https://gmicloud.ai/,own,,US
Google,google-vertex,https://google.com/,own,https://status.cloud.google.com/products/sdXM79fz1FS6ekNpu37K/history,US
Google AI Studio,google-ai-studio,https://google.com/,own,,US
Groq,groq,https://groq.com/,own,https://status.groq.com/,US
HeyGen,heygen,https://www.heygen.com/,own,,US
Inception,inception,https://www.inceptionlabs.ai/,own,,
Inceptron,inceptron,https://www.inceptron.io/,own,,SE
Inferact vLLM,inferact-vllm,https://openrouter.ai/provider/inferact-vllm,openrouter,,
InferenceNet,inference-net,https://inference.net/,own,,US
Infermatic,infermatic,https://infermatic.ai/,own,,
Inflection,inflection,https://inflection.ai/,own,,
Io Net,io-net,https://io.net/,own,https://status.io.net/,US
