observed_at,source,platform,model_key,variant,region,metric,model_name,old_usd_per_1m,new_usd_per_1m,pct_change
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-2.0,unknown,,input,AionLabs: Aion-2.0,,0.8,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-2.0,unknown,,output,AionLabs: Aion-2.0,,1.6,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-2.0,unknown,,cache_read,AionLabs: Aion-2.0,,0.2,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-3.0,unknown,,input,AionLabs: Aion-3.0,,3.0,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-3.0,unknown,,output,AionLabs: Aion-3.0,,6.0,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-3.0,unknown,,cache_read,AionLabs: Aion-3.0,,0.75,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-3.0-mini,unknown,,input,AionLabs: Aion-3.0-Mini,,0.7,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-3.0-mini,unknown,,output,AionLabs: Aion-3.0-Mini,,1.4,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-3.0-mini,unknown,,cache_read,AionLabs: Aion-3.0-Mini,,0.18,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-rp-llama-3.1-8b,unknown,,input,AionLabs: Aion-RP 1.0 (8B),,0.8,
2026-09-02T04:48:14+00:00,openrouter,AionLabs,aion-labs/aion-rp-llama-3.1-8b,unknown,,output,AionLabs: Aion-RP 1.0 (8B),,1.6,
2026-09-02T04:48:14+00:00,openrouter,Amazon Bedrock,amazon/nova-2-lite-v1,unknown,,input,Amazon: Nova 2 Lite,,0.3,
2026-09-02T04:48:14+00:00,openrouter,Amazon Bedrock,amazon/nova-2-lite-v1,unknown,,output,Amazon: Nova 2 Lite,,2.5,
